Store,Address,phone,website
"Cromer Material Handling","4701 Oakport St., Oakland, CA, 94601","510-534-6566 / 800-974-5438",http://www.cromer.com/
"Cromer Material Handling","3939 West Capitol Avenue, West Sacremento CA 95691","916-371-2004 / 800-870-5438",http://www.cromer.com/
"National Lift Fleet Leasing","201 North Rice Avenue, Unit G, Oxnard CA 93030","805-381-1887 / 866-528-2902",http://www.nlfl.com/
"Reno Forklift, Inc.","171 Coney Island Drive Sparks NV 89431","775-329-1384 / N/A",http://www.renoforklift.com/
"Doosan Material Handling Solutions","5650 Knott Ave, Buena Park, CA 90621","(714) 676-8750",http://www.doosanmhs-socal.com/
"Cromer Material Handling","5260 Cameron St, Las Vegas NV 89118","702-207-4700 / N/A",http://www.cromer.com/
"Cromer Material Handling","4140 Cannoli Circle, Suite B, Las Vegas NV 89103","702-207-4700",http://www.cromer.com/
"FMH Material Handling Solutions, Inc.","4105 Globeville Road, Denver CO 80216","303-292-5438 / 800-451-6749",http://www.fmhsolutions.com/
"Bobcat of Casper","2000 EAST F STREET Casper, WY 82601","307-235-6685",http://bobcatofcasper.com/
"Summit Handling Systems","11 Defco Park Road North Haven, CT 06473","203-239-5351",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Lift Truck Parts & Service","20 Parkside Drive, West Springfield MA 01089","866-436-7967",http://lifttruckmass.com/
"Summit Handling Systems","39 Murphy Road North Franklin, CT 06254","860-642-4377",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Summit Handling Systems","63 Mall Drive Commack, NY 11725","631-236-4466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Summit Handling Systems","2500 NY 208 Walden, NY 12586","845-764-8466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Forklifts Group Of New York","21 Dixon Ave, Copiague NY 11726","631-810-3600",http://www.forkliftsgroup.com/
"W.D. Matthews Machinery","W.D. Matthews Machinery 297 Hartford Turnpike Shrewsbury MA 1545","508-798-3411",https://www.wdmatthews.com/
"Liftec, Inc.","124 Sylvania Place, Plainfield NJ 07080","908-769-0034",http://www.liftec.com/
"A. J. Jersey Inc.","125 St Nicolas Ave, South Plainfield NJ 07080","908-754-7333",http://www.ajjersey.net/
"Lift Truck Parts & Service II","140 Manley Street Brockton, MA 02301","(508) 313-5600",https://www.facebook.com/lifttruckmass/
"W.D. Matthews Machinery","309 Sheep Davis Road Concord NH 03301","603-225-1171",https://www.wdmatthews.com/
"Delaware Valley Lift Trucks Inc.","1311 Ford Road, Bensalem PA 19020","215-447-0000 / 888-706-5070",http://www.dvlift.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
"Toyotalift NE","1000 Taylors Lane, Unit 6 NJ 08077","856-303-0235",http://www.toyotaliftne.com/
"Mullen Industrial Handling Corporation","6245 Fly Road, Handling East Syracuse NY 13057","315-437-3386 / N/A",http://www.mullenindustrial.com/
"Forklifts of Toedo - B&B Forklifts","9180 US Route 62, Orient OH 43146","614-877-0037 / 888-432-9368",https://bbforklift.com/
"Next Lift, Inc","2271 Arbor Blvd, Moraine, OH 45439","937-387-8140",http://www.next-lift.com/
"Forklifts of Toledo","140 Byrne Road, Toledo OH 43607","419-531-6110",https://forkliftsoftoledo.com/
"Valley Industrial Trucks, Inc.","1620 East Market St., Akron OH 44305","330-733-6301 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"A. J. Gates Company","29855 Aurora Road, Solon OH 44139","",http://www.ajgates.com/
"Complete Forklift Repair","7964 Kentucky Drive Ste 13 Florence, KY 41042","888-680-5438",http://completeforkliftrepair.com/
"Ryder Material Handling","2970 Walker Road Windsor ON N8W3R3","519-966-2450 / 800-268-2125",http://www.rydermaterialhandling.com/
"Valley Industrial Trucks, Inc.","1152 Meadowbrook Ave., Youngstown OH 44512","330-788-4081 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Morrison Industrial Equipment, Co.","1401 W Fort St. Rm 1006 Detroit MI 48233","810-227-6311",http://www.morrison-ind.com/
"Jefferds Corporation","2070 Winfield Road, St. Albans 25177","304-755-8111 / 800-735-8111",http://www.jefferds.com/
"Complete Forklift Repair, LLC","1000 Owenton Road, Corinth,KY 41010","888-680-5438",http://www.completeforkliftrepair.com/
"Ryder Material Handling","128 Byng Avenue Chatham ON N7M6C6","800-265-5014",http://www.rydermaterialhandling.com/
"Kensar Equipment Company (Div. of Wisconsin Lift Truck)","820 South Post Road Indianapolis, IN 46239","262-781-8011",http://www.kensar.com/
"Morrison Industrial Equipment, Co","1183 South Old US Highway 23 Brighton, Mi 48114","810-227-6311",http://www.morrison-ind.com/
"Alliance Material Handling, Inc.","8320 Sherwick Court, Jessup MD 20794","301-497-2600 / 866-264-5438",http://www.alliancemat.com/
"Alliance Material Handling, Inc.","161 Industrial Drive, Winchester VA 22602","866 264 5438 / 540-868-4180",http://www.alliancemat.com/
"Alliance Material Handling","509 Hatchery Road, Dover DE 19901","866-264-5438",https://www.alliancemat.com/
"Best Line Equipment","5120 East Trindle Road, Mechanicsburg PA 17050","800-577-7115",http://www.bestline.com/
"Alliance Material Handling, Inc.","5006 Byrd Industrial Drive, Richmond VA 23231","866 264 5438 / 804-222-7550",http://www.alliancemat.com/
"Southeast Industrial Equipment","5130 Commerce Road Richmond VA 23234","804‐714‐0799 / 866-696-9125",https://sielift.com/
"Jefferds Corporation (Homestead)","961 Laurel Hill Rd., Verona 24482","540-248-3600",http://www.jefferds.com/
"Toyotalift NE","1000 Taylors Lane, Unit 6 NJ 08077","856-303-0235",http://www.toyotaliftne.com/
"Best Line Equipment","140 Hawbaker Industrial Drive, State College PA 16803","814-237-9050 / 800-792-0635",http://www.bestline.com/
"Delaware Valley Lift Trucks Inc.","1311 Ford Road, Bensalem PA 19020","215-447-0000 / 888-706-5070",http://www.dvlift.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
"Southeast Industrial Equipment","3534 Business Center Drive, Chesapeake VA 23323","757‐512‐1024 / 866-696-9125",https://sielift.com/
"Alliance Material Handling, Inc","921B Corporate Lane Chesapeake VA 23320","866 264 5438",http://www.alliancemat.com/
"Jefferds Corporation (Homestead)","420 Bradley Drive, Lynchburg VA 24506","434-845-4699",http://www.jefferds.com/
"Certified Lift Specialists Inc","4522 State Route 136, Greensburg, PA, 15601, US","724-830-9972 / N/A",https://clsforklift.com/
"Duke Equipment Inc. DBA Florida Forklift","5155 Recker Hwy Winter Haven, Florida 33880","(863) 967-0607",https://www.floridaforklift.com/
"Duke Equipment DBA Florida Forklift","3321 N 40th St Tampa, FL 33605","(813)623-5251",https://www.floridaforklift.com/
"WE Johnson Equipment","2120 Park 82 Fort Myers, FL 33905","239-287-0314 / (239) 888-0436 - Parts and Service",http://wej-fl.com/
"JAMCO Inc.","3800 Enterprise Way, Suite 1110 Sanford FL 32771","866-848-5400",http://www.jamco1.com/
"Nationwide Lift Trucks","2481 Port W Blvd. W Palm Beach 33407","954-900-9444",https://www.toyotaforklift.com/dealers/nationwide-lift-trucks-inc
"Lift Power, Inc","303 Southeast 17th Street Ocala, FL 34471","352-369-5000",http://www.liftpower.com/
"Nationwide Lift Trucks","3900 N. 28th Terrace Hollywood, FL 33020","954-900-9444",https://www.toyotaforklift.com/dealers/nationwide-lift-trucks-inc
"G.A.F. Equipment, Inc.","8085 West 26 Court Hialeah FL 33016","305-557-3637 / N/A",http://www.gafequipment.com/
"WE Johnson Equipment","7801 NW 52nd Street Doral FL 33166","305-882-7000",http://wej-fl.com/
"Lift Power, Inc.","6801 Suemac Place, Jacksonville FL 32254","904-783-0250",http://www.liftpower.com/
"Lift Power, Inc","1500 Jimmy DeLoach Parkway, Ste 100 Pooler, GA 31322","912-447-9500",https://liftpower.com/
"Southeast Industrial Equipment","512 Bourne Avenue, Garden City GA 31408","912‐965‐9191 / 866-696-9125",https://sielift.com/
"Columbus Lift Service, Inc.","2815 Harley Court Columbus GA 31909","706-568-6313 / 877-507-6385",http://www.columbusliftservice.com/
"Lift Power, Inc.","6801 Suemac Place, Jacksonville FL 32254","904-783-0250",http://www.liftpower.com/
"Doosan Material Handling Solutions","5635 Gwaltney Drive Atlanta GA 30336","770-941-0239",http://www.doosanmhs.com/
"Doosan Material Handling Solutions","2475 Mill Center Parkway, Buford, GA, USA","678-745-2230",http://www.doosanmhs.com/
"Atlantic Forklift Service","1009-B Ferguson Street, Columbia SC 29205","803-714-3330 / (803) 677-1216",http://www.atlanticforkliftservices.com/
"Southeast Industrial Equipment","9861 Highway 78, Ladson SC 29456","843-552-4825 / 866-696-9125",https://sielift.com/
"Atlantic Forklift Service","2355 Highway 101 South, Suite Greer SC 29651","864-479-1555 / (864) 499-8288",http://www.atlanticforkliftservices.com/
"BTL America LLC","2776 Gunter Park Drive, Unit E Montgomery, AL 36109","706-298-6492 / 334-707-5329",""
"KOAM Maintenance, LLC","4520 Selma Hwy Montgomery, AL 36108","334-744-3660",http://www.koammaint.com/
"Lift Power, Inc","303 Southeast 17th Street Ocala, FL 34471","352-369-5000",http://www.liftpower.com/
"Industrial LIft Truck dba Action Material Handling","1259 Hooker Road, Chattanooga TN 37407","423-867-3333",http://www.action-material-handling.com/
"Atlantic Forklift Services, LLC","5509 David Cox Road, Charlotte NC 28269","704-816-8960",https://www.atlanticforkliftservices.com/
"JAMCO Inc.","3800 Enterprise Way, Suite 1110 Sanford FL 32771","866-848-5400",http://www.jamco1.com/
"Union City Forklift, Inc.","2311 North 5th Street, Forklift Ctiy TN 38261","731-885-6900 / N/A",http://www.liftprousa.com/
"Hugg & Hall Equipment","2828 Quality Way, Jonesboro AR 72401","870-931-1262 / 888-340-6808",http://www.hugghall.com/
"A D Lift Truck","5434 Natural Bridge Ave St. Louis, MO 63120","314.389.1700",http://adlifttruck.com/
"Union City Forklift, Inc.","4056 Homewood Road, Memphis TN 38118","901-377-3330 / N/A",http://www.liftprousa.com/
"JJ Connell Co.","5930 North Hanley, Springfield MO 63134","314-522-6099 / 888-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","JJ CONNELL CO. 5930 North Hanley St. Louis MO 63134","314-522-6099",http://www.jjconnellco.com/
"Forklift Systems, Incorporated","884 Elm Hill Pike, Nashville TN 37210","615-255-6321 / 800-752-1882",http://www.forkliftsystems.com/
"Delta Materials Handling, Inc.","1984 McCullough Blvd Tupelo, MS 38801","662-844-5766",http://www.deltamat.com/Tupelo
"Lift Service Inc.","Lift Service Inc. 1110 Hwy. 20 Tuscumbia AL 35674","256-381-0021",https://liftserviceinc.com/
"JJ Connell Co.","3015 N. Lester Jones Ave. Springfield, MO 65803","888-522-6099",http://www.jjconnellco.com/
"Hugg & Hall Equipment","7201 Scott Hamilton Dr., Little Rock AR 72209","501-562-1262 / 888-340-6808",http://www.hugghall.com/
"Bohnert Equipment Co.","1010 South 9th Street Louisville KY 40203","502-584-3391",http://www.bohnert.com/
"Forklift Systems, Incorporated","4300 Chef's Way Louisville KY 40218","502-654-8999",http://www.forkliftsystems.com/
"Hugg & Hall Equipment","331 Agnes Drive, Springdale AR 76762","479-361-1262 / 888-340-6808",http://www.hugghall.com/
"Burke Handling Systems","4286 Highway 69 South, Columbus MS 39704","662-327-6000 / 800-870-6005",http://www.burkehandling.com/
"Bacon-Universal Co","918 Ahua Street Honolulu, HI 96819","808-839-7202",http://www.baconuniversal.com/
"Dillon Toyota Lift","Dillon Toyota Lift 1905 Madison Ave. Nampa ID 83687","208-466-8994 / 800-327-7741",http://www.dillontoyotalift.com/
"Dillon Toyota Lift","Dillon Toyota Lift 2354 Eldridge Ave. Twin Falls ID 83301","208-466-8994 / 800-327-7741",http://www.dillontoyotalift.com/
"C & B Operations LLC (Blackfoot)","1102 W BRIDGE STREET BLACKFOOT ID 83221","208-785-0520 / 800-782-0520",https://deerequipment.com/
"Pro Rentals & Sales","402 E Anderson St Idaho Falls, ID 83401","208-529-5570",https://www.prorentalsandsales.com/
"C & B Operations LLC (Idaho Falls)","2105 E INDUSTRIAL BLVD IDAHO FALLS ID 84301","208-522-6372 / 888-210-7235",https://deerequipment.com/
"C & B Operations LLC (Rexburg)","1247 S 12TH W REXBURG ID 83440","208-356-5414 / 888-210-7993",https://deerequipment.com/
"Norlift of Spokane - Missoula","Norlift of Missoula Unit 13, Railroad St. W, Missoula MT 59808","888-258-5813",https://www.norlift.com/
"Mid Columbia Forklift","2605 N. Commercial Ave. Pasco WA 99301","509-547-7413 / 866-380-0383",http://www.midcolumbiaforklift.com/
"Dillon Toyota Lift","Dillon Toyota Lift 2640 California Ave. Salt Lake City UT 84104","801-972-1930 / 800-624-2729",http://www.dillontoyotalift.com/
"Norlift of Spokane","Norlift of Spokane 512 N. Fancher Spokane WA 99212","509-413-0166",https://www.norlift.com/
"C & B Operations LLC (Powell)","1025 W COULTER POWELL WY 82435","307-754-5123 / 800-343-5702",https://deerequipment.com/
"Big River Equipment Co., Inc.","5875 State Street, Bettendorf IA 52722","563-359-9600 / 800-747-7771",http://www.bigriverequipment.com/
"Illinois Material Handling","Illinois Material Handling 490 W North Frontage Rd Bolingbrook IL 60440","630-754-4440",http://www.wisconsinlift.com/
"JJ Connell Co.","5930 North Hanley, Springfield MO 63134","314-522-6099 / 888-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","JJ CONNELL CO. 5930 North Hanley St. Louis MO 63134","314-522-6099",http://www.jjconnellco.com/
"A D Lift Truck","5434 Natural Bridge Ave St. Louis, MO 63120","314.389.1700",http://adlifttruck.com/
"Big River Equipment Co., Inc.","1520 Stamy Road, Hiawatha IA 52233","319-395-9003 / 800-747-7771",http://www.bigriverequipment.com/
"Wisconsin Lift Truck Corporation","6003 FEMRITE DR #1, Madison WI 53718","608-221-3881",""
"Morrison Industrial Equipment, Co","2505 North Foundation Drive, South Bend IN 46628","574-287-4290 / 800-968-5004",http://www.morrison-ind.com/
"Wisconsin Lift Truck Corporation","3125 Intertech Drive, Brookfield WI 53045","262-781-8010",http://www.wisconsinlift.com/
"Kensar Equipment Company (Div. of Wisconsin Lift Truck)","820 South Post Road Indianapolis, IN 46239","262-781-8011",http://www.kensar.com/
"Morrison Industrial Equipment, Co","2988 Paul Drive, Elkhart IN 46514","574-264-3699 / 800-968-5004",http://www.morrison-ind.com/
"Big River Equipment Co., Inc.","2950 W. Airline Highway, Waterloo IA 50703","319-235-6741 / 800-747-7771",http://www.bigriverequipment.com/
"Wisconsin Lift Truck Corporation","NORTH 6993 ROLLING MEADOWS DR., Fon du Lac, 54937","800-634-9010",""
"Morrison Industrial Equipment, Co","3303 Windquest Drive, Holland MI 49424","616-786-9800 / 800-968-5004",http://www.morrison-ind.com/
"Morrison Industrial Equipment, Co","3510 Miller Road, Kalamazoo MI 49001","269-381-7490 / 800-968-5004",http://www.morrison-ind.com/
"Certified Lift Specialists Inc","4522 State Route 136, Greensburg, PA, 15601, US","724-830-9972 / N/A",https://clsforklift.com/
"Langer Material Handling, Inc.","100 Industrial Drive West, Valencia PA 16059","724-898-2000",http://www.langermhi.com/
"Best Line Equipment","140 Hawbaker Industrial Drive, State College PA 16803","814-237-9050 / 800-792-0635",http://www.bestline.com/
"Valley Industrial Trucks, Inc.","1152 Meadowbrook Ave., Youngstown OH 44512","330-788-4081 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"Jefferds Corporation","8360 Water Street, Stonewood WV 26301","304-623-6541 / 800-735-8111",http://www.jefferds.com/
"Alliance Material Handling, Inc.","161 Industrial Drive, Winchester VA 22602","866 264 5438 / 540-868-4180",http://www.alliancemat.com/
"Best Line Equipment","5120 East Trindle Road, Mechanicsburg PA 17050","800-577-7115",http://www.bestline.com/
"Valley Industrial Trucks, Inc.","1620 East Market St., Akron OH 44305","330-733-6301 / 888-375-0829",http://www.valleyindustrialtrucks.com/
"A. J. Gates Company","29855 Aurora Road, Solon OH 44139","",http://www.ajgates.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Prolift Inc.","1835 Dale Road, Buffalo NY 14225","716-895-8600 / 888-474-0149",http://www.proliftinc.com/
"Alliance Material Handling, Inc.","8320 Sherwick Court, Jessup MD 20794","301-497-2600 / 866-264-5438",http://www.alliancemat.com/
"Jefferds Corporation (Homestead)","961 Laurel Hill Rd., Verona 24482","540-248-3600",http://www.jefferds.com/
"Toyotalift NE","820 Phillips Rd Victor NY 14564","585-742-2150",http://www.toyotaliftne.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
"Van Wall Lift Truck","1468 West A Ave., Nevada IA 50201","515-382-2222",http://www.vanwalllift.com/
"Big River Equipment Co., Inc.","2950 W. Airline Highway, Waterloo IA 50703","319-235-6741 / 800-747-7771",http://www.bigriverequipment.com/
"Big River Equipment Co., Inc.","1520 Stamy Road, Hiawatha IA 52233","319-395-9003 / 800-747-7771",http://www.bigriverequipment.com/
"Big River Equipment Co., Inc.","5875 State Street, Bettendorf IA 52722","563-359-9600 / 800-747-7771",http://www.bigriverequipment.com/
"Van Wall Lift Truck","13747 Industrial Road, Omaha NE 68137","866-891-1024",http://www.vanwalllift.com/
"Forklifts of Minnesota (F/MN)","2201 West 94th Street Bloomington MN 55431","952-887-5400 / 800-752-4300",http://www.forkliftsofmn.com/
"JJ Connell Co.","JJ CONNELL CO. 1225 Ozark St. North Kansas City MO 64116","816-241-6700",http://www.jjconnellco.com/
"Lift Truck Sales & Service Inc. (Clarklift of Kansas City)","2720 Nicholson Road, Kansas Ctiy MO 64120","816-241-6360",http://www.lifttrucksalesinc.com/
"Wisconsin Lift Truck Corporation","6003 FEMRITE DR #1, Madison WI 53718","608-221-3881",""
"C & B Operations LLC (Yankton - HQ)","2200 E HWY 50 YANKTON SD 57078","605-665-3762 / 800-952-2424",https://deerequipment.com/
"C & B Operations LLC (Freeman)","615 N HWY 81 FREEMAN SD 57029","605-925-4241 / 800-251-6912",https://deerequipment.com/
"Illinois Material Handling","Illinois Material Handling 490 W North Frontage Rd Bolingbrook IL 60440","630-754-4440",http://www.wisconsinlift.com/
"JJ Connell Co.","JJ CONNELL CO. 5930 North Hanley St. Louis MO 63134","314-522-6099",http://www.jjconnellco.com/
"JJ Connell Co.","5930 North Hanley, Springfield MO 63134","314-522-6099 / 888-522-6099",http://www.jjconnellco.com/
"Wisconsin Lift Truck Corporation","3125 Intertech Drive, Brookfield WI 53045","262-781-8010",http://www.wisconsinlift.com/
"Lift Truck Center, Inc.","4000 W. 33rd Circle South, Wichita KS 67217","316-942-7465",http://www.ltcenter.com/
"Van Wall Lift Truck","13747 Industrial Road, Omaha NE 68137","866-891-1024",http://www.vanwalllift.com/
"JJ Connell Co.","JJ CONNELL CO. 1225 Ozark St. North Kansas City MO 64116","816-241-6700",http://www.jjconnellco.com/
"Lift Truck Sales & Service Inc. (Clarklift of Kansas City)","2720 Nicholson Road, Kansas Ctiy MO 64120","816-241-6360",http://www.lifttrucksalesinc.com/
"Hugg & Hall Equipment","5109 West 21st Street, Tulsa OK 74107","918-438-7200 / 888-340-6808",http://www.hugghall.com/
"Hugg & Hall Equipment","4700 North Bryant Ave, Oklahoma City OK 73121","405-670-4343 / 800-593-2830",http://www.hugghall.com/
"C & B Operations LLC (Yankton - HQ)","2200 E HWY 50 YANKTON SD 57078","605-665-3762 / 800-952-2424",https://deerequipment.com/
"C & B Operations LLC (Wagner)","39660 SD HWY 46 WAGNER SD 57380","605-384-4580 / 888-384-4580",https://deerequipment.com/
"Complete Forklift Repair, LLC","1000 Owenton Road, Corinth,KY 41010","888-680-5438",http://www.completeforkliftrepair.com/
"Forklift Systems, Incorporated","4300 Chef's Way Louisville KY 40218","502-654-8999",http://www.forkliftsystems.com/
"Complete Forklift Repair","7964 Kentucky Drive Ste 13 Florence, KY 41042","888-680-5438",http://completeforkliftrepair.com/
"Bohnert Equipment Co.","1010 South 9th Street Louisville KY 40203","502-584-3391",http://www.bohnert.com/
"Next Lift, Inc","2271 Arbor Blvd, Moraine, OH 45439","937-387-8140",http://www.next-lift.com/
"Material Handling, Inc","4709 Middle Creek Lane Knoxville TN 37921","865-281-1500",http://www.mhiusa.net/
"Jefferds Corporation","2070 Winfield Road, St. Albans 25177","304-755-8111 / 800-735-8111",http://www.jefferds.com/
"Forklifts of Toedo - B&B Forklifts","9180 US Route 62, Orient OH 43146","614-877-0037 / 888-432-9368",https://bbforklift.com/
"Jefferds Corporation (Homestead)","Jefferds Corporation (Homestead) 223 Lee Highway Chilhowie VA 24319","276-646-0240 / 888-848-6216",http://www.jefferds.com/
"Kensar Equipment Company (Div. of Wisconsin Lift Truck)","820 South Post Road Indianapolis, IN 46239","262-781-8011",http://www.kensar.com/
"Jefferds Corporation","514 29th St., Parkersburg WV 26101","304-422-6491 / 800-735-8111",http://www.jefferds.com/
"Forklift Systems, Incorporated","884 Elm Hill Pike, Nashville TN 37210","615-255-6321 / 800-752-1882",http://www.forkliftsystems.com/
"Industrial Lift Truck","464 Rock Quarry Road, Soddy-Daisy, TN, USA","423-867-3333",""
"Industrial LIft Truck dba Action Material Handling","1259 Hooker Road, Chattanooga TN 37407","423-867-3333",http://www.action-material-handling.com/
"Jefferds Corporation","8360 Water Street, Stonewood WV 26301","304-623-6541 / 800-735-8111",http://www.jefferds.com/
"Louisiana Lift, Inc.","200 Windermere Blvd Alexandria LA 71303","318-448-3877",http://www.lalift.com/
"Louisiana Lift, Inc.","15151 Airline Highway Baton Rouge LA 70879","225-753-5700",http://www.lalift.com/
"Louisiana Lift, Inc.","10299 Airline Hwy. St. Rose LA 70087","504-888-4870",http://www.lalift.com/
"Burke Handling Systems","431 Hwy 49 South, Jackson MS 39218","601-939-6600 / 800-222-5400",http://www.burkehandling.com/
"Associated Supply Company, Inc.","5980 South MLK Pkwy Beaumont, TX 77705","409-212-8100",http://www.ascoeq.com/
"Louisiana Lift, Inc.","6847 Greenwood Dr. Shreveport LA 71133","318-631-5100",http://www.lalift.com/
"Burke Handling Systems","7418 Rt 49 North, Hattisburg MS 39402","601-261-3300 / N/A",http://www.burkehandling.com/
"Hugg & Hall Equipment","1943 South West Avenue, El Dorado AR 71730","870-862-1262 / 888-340-6808",http://www.hugghall.com/
"Burke Handling Systems","3924 Highway 82 West, Leland MS 38756","662-378-9700 / 800-551-4501",http://www.burkehandling.com/
"Associated Supply Company, Inc.","926 N Sam Houston Pkwy E Houston, TX 77032","(281) 987-1990",http://www.ascoeq.com/
"Elite Material Handling","22203 Cypress Slough Drive, Houston TX 77073","281-895-5438",https://www.elitemh.com/
"Associated Supply Company, Inc.","2602 E Front St, Tyler, TX 75702","903-593-0201",http://www.ascoeq.com/
